"","Date","Site.Name","AQS_PARAMETER_DESC","COUNTY","mean_AQI","mean_latitude","mean_longitude","Month","Year"
"49",2018-04-26,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,4,2018
"50",2018-04-27,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,4,2018
"51",2018-04-28,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,4,2018
"52",2018-04-29,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,4,2018
"53",2018-04-30,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,4,2018
"54",2018-05-01,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"55",2018-05-02,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"56",2018-05-03,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"57",2018-05-04,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"58",2018-05-05,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"59",2018-05-06,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"60",2018-05-07,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"61",2018-05-08,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"62",2018-05-09,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"63",2018-05-10,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"64",2018-05-11,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"65",2018-05-12,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"66",2018-05-13,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"67",2018-05-14,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"68",2018-05-15,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"69",2018-05-16,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"70",2018-05-17,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"71",2018-05-18,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"72",2018-05-19,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"73",2018-05-20,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"74",2018-05-21,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"75",2018-05-22,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"76",2018-05-23,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"77",2018-05-24,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"78",2018-05-25,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"79",2018-05-26,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"80",2018-05-27,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"81",2018-05-28,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"82",2018-05-29,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"83",2018-05-30,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"84",2018-05-31,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,5,2018
"85",2018-06-01,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"86",2018-06-02,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"87",2018-06-03,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"88",2018-06-04,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"89",2018-06-05,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"90",2018-06-06,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"91",2018-06-07,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"92",2018-06-08,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"93",2018-06-09,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"94",2018-06-10,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"95",2018-06-11,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"96",2018-06-12,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"97",2018-06-13,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"98",2018-06-14,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"99",2018-06-15,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"100",2018-06-16,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"101",2018-06-17,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"102",2018-06-18,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"103",2018-06-19,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"104",2018-06-20,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"105",2018-06-21,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"106",2018-06-22,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"107",2018-06-23,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"108",2018-06-24,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"109",2018-06-25,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"110",2018-06-26,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"111",2018-06-27,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"112",2018-06-28,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"113",2018-06-29,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"114",2018-06-30,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,6,2018
"115",2018-07-01,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"116",2018-07-02,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"117",2018-07-03,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"118",2018-07-04,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"119",2018-07-05,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"120",2018-07-06,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"121",2018-07-07,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"122",2018-07-08,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"123",2018-07-09,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"124",2018-07-10,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"125",2018-07-11,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"126",2018-07-12,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"127",2018-07-13,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"128",2018-07-14,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"129",2018-07-15,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"130",2018-07-16,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"131",2018-07-17,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"132",2018-07-18,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"133",2018-07-19,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"134",2018-07-20,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"135",2018-07-21,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"136",2018-07-22,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"137",2018-07-23,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"138",2018-07-24,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"139",2018-07-25,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"140",2018-07-26,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"141",2018-07-27,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"142",2018-07-28,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"143",2018-07-29,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"144",2018-07-30,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"145",2018-07-31,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,7,2018
"146",2018-08-01,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"147",2018-08-02,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"148",2018-08-03,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"149",2018-08-04,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"150",2018-08-05,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"151",2018-08-06,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"152",2018-08-07,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"153",2018-08-08,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"154",2018-08-09,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"155",2018-08-10,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"156",2018-08-11,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"157",2018-08-12,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"158",2018-08-13,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"159",2018-08-14,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"160",2018-08-15,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
"161",2018-08-16,"Linville Falls","Ozone","Avery",36.2720819148655,35.6168491346124,-80.2084963267666,8,2018
